UpgradeId,WeaponId,DisplayName,TargetStat,MaxLevel,ValuePerLevel,IsPercentage,Operation,BaseCostOre,BaseCostGem,OreCostMultiplier,GemCostMultiplier,ManualCostsOre,ManualCostsGem
gun_dmg,gun,기관총 데미지,Damage,5,0.25,TRUE,Multiply,70,5,2,2,,
gun_ammo,gun,탄창 증가,AmmoBonus,4,10,FALSE,Add,55,4,2.1,2,,
gun_reload,gun,재장전 단축,ReloadTime,4,-0.2,TRUE,Multiply,50,3,2.1,2.2,,
sniper_dmg,sniper,저격총 데미지,Damage,5,0.25,TRUE,Multiply,40,2,2,2,,
sniper_range,sniper,저격총 범위,Range,3,0.2,TRUE,Multiply,55,3,2.1,2,,
sniper_cd,sniper,저격총 연사,Cooldown,4,-0.2,TRUE,Multiply,45,2,2.1,2.2,,
bomb_dmg,bomb,폭탄 데미지,Damage,4,0.3,TRUE,Multiply,60,4,2,2,,
bomb_radius,bomb,폭탄 범위,Radius,4,0.2,TRUE,Multiply,55,3,2.1,2,,
bomb_cd,bomb,폭탄 쿨타임,Cooldown,4,-0.15,TRUE,Multiply,45,3,2,2,,
laser_dmg,laser,레이저 데미지,Damage,5,0.25,TRUE,Multiply,85,6,2,2,,
laser_range,laser,레이저 범위,Range,4,0.2,TRUE,Multiply,70,5,2.1,2,,
laser_cd,laser,레이저 쿨타임,Cooldown,4,-0.15,TRUE,Multiply,60,4,2.1,2.2,,
saw_dmg,saw,톱날 데미지,Damage,5,0.2,TRUE,Multiply,85,7,2,2,,
saw_radius,saw,톱날 사거리,Radius,4,0.25,TRUE,Multiply,80,6,2.1,2,,
saw_slow,saw,슬로우 강화,SlowBonus,3,0.2,FALSE,Add,95,8,2.1,2,,
